id,name,image,description,price,status,type,created_at,updated_at
19,"Cà phê food đặc biệt 1",uploads/food/57c9f6e7-f416-421a-89ac-5d41d6c4de64_anhcaphe1.webp,"Mô tả sản phẩm food 1",26,1,food,"2025-07-25 09:10:00","2025-07-25 18:46:18"
20,"Cà phê food đặc biệt 2",uploads/food/31e76e31-7d66-4efe-9c01-63a671339c70_anhcaphe3.jpg,"Mô tả sản phẩm food 2",20,1,food,"2025-07-25 09:11:00","2025-07-25 18:46:45"
21,"Cà phê food đặc biệt 3",uploads/food/b347c93e-5b9f-4dfb-8e65-1f45b16bd8fb_caphesua.jpg,"Mô tả sản phẩm food 3",30,1,food,"2025-07-25 09:12:00","2025-07-25 09:12:00"
22,"Cà phê food đặc biệt 4",uploads/drink/f32c0947-5379-4581-8b3c-35211698c4b8_caphesua.jpg,"Mô tả sản phẩm food 4",20,1,food,"2025-07-25 09:13:00","2025-07-25 09:13:00"
23,"Cà phê food đặc biệt 5",uploads/drink/98ba059f-1ff6-4520-a5ab-9a416c48b252_caphesua.jpg,"Mô tả sản phẩm food 5",22,1,food,"2025-07-25 09:14:00","2025-07-25 09:14:00"
24,"Cà phê food đặc biệt 6",uploads/food/4a65169e-8652-4729-b6d9-3dc2f8eee5f8_anhcaphe3.jpg,"Mô tả sản phẩm food 6",22,1,food,"2025-07-25 09:15:00","2025-07-25 18:46:50"
25,"Cà phê food đặc biệt 7",uploads/food/b4ecd369-b8ac-496c-b77a-511cb5971bec_anhcaphe2.jpg,"Mô tả sản phẩm food 7",18,1,food,"2025-07-25 09:16:00","2025-07-25 18:46:54"
26,"Cà phê food đặc biệt 8",uploads/food/7ddeffb8-30c8-419f-931f-1be2e11039ec_caphesua.jpg,"Mô tả sản phẩm food 8",32,1,food,"2025-07-25 09:17:00","2025-07-25 09:17:00"
27,"Cà phê food đặc biệt 9",uploads/drink/39942b09-2c45-4fd4-8386-e13293bbdde5_caphesua.jpg,"Mô tả sản phẩm food 9",18,1,food,"2025-07-25 09:18:00","2025-07-25 09:18:00"
28,"Cà phê food đặc biệt 10",uploads/food/774ba93e-0ca5-4820-be08-6c9360c14d12_anhcaphe1.webp,"Mô tả sản phẩm food 10",20,1,food,"2025-07-25 09:19:00","2025-07-25 18:46:59"
29,"Cà phê food đặc biệt 11",uploads/drink/39942b09-2c45-4fd4-8386-e13293bbdde5_caphesua.jpg,"Mô tả sản phẩm food 11",26,1,food,"2025-07-25 09:20:00","2025-07-25 09:20:00"
30,"Cà phê food đặc biệt 12",uploads/food/b347c93e-5b9f-4dfb-8e65-1f45b16bd8fb_caphesua.jpg,"Mô tả sản phẩm food 12",28,1,food,"2025-07-25 09:21:00","2025-07-25 09:21:00"
31,"Cà phê food đặc biệt 13",uploads/drink/39942b09-2c45-4fd4-8386-e13293bbdde5_caphesua.jpg,"Mô tả sản phẩm food 13",18,1,food,"2025-07-25 09:22:00","2025-07-25 09:22:00"
32,"Cà phê food đặc biệt 14",uploads/food/1d736779-21dc-47f7-bf91-b1c3a9589ebd_anhcaphe1.webp,"Mô tả sản phẩm food 14",28,1,food,"2025-07-25 09:23:00","2025-07-25 18:47:06"
33,"Cà phê food đặc biệt 15",uploads/food/63e85ecf-b1eb-447e-804a-f7f20971b9dc_anhcaphe2.jpg,"Mô tả sản phẩm food 15",20,1,food,"2025-07-25 09:24:00","2025-07-25 18:47:11"
34,"Cà phê food đặc biệt 16",uploads/drink/98ba059f-1ff6-4520-a5ab-9a416c48b252_caphesua.jpg,"Mô tả sản phẩm food 16",18,1,food,"2025-07-25 09:25:00","2025-07-25 09:25:00"
35,"Cà phê food đặc biệt 17",uploads/food/db2dab20-1ba9-41be-aff7-b15089a1d467_anhcaphe3.jpg,"Mô tả sản phẩm food 17",26,1,food,"2025-07-25 09:26:00","2025-07-25 18:47:15"
36,"Cà phê food đặc biệt 18",uploads/drink/39942b09-2c45-4fd4-8386-e13293bbdde5_caphesua.jpg,"Mô tả sản phẩm food 18",24,1,food,"2025-07-25 09:27:00","2025-07-25 09:27:00"
37,"Cà phê food đặc biệt 19",uploads/food/a19ba5e8-234f-41ff-8d7e-5857f8da52a3_anhcaphe3.jpg,"Mô tả sản phẩm food 19",30,1,food,"2025-07-25 09:28:00","2025-07-25 18:47:32"
38,"Cà phê food đặc biệt 20",uploads/food/03ec6f2d-c4f4-44c5-8576-76539abaef27_anhcaphe2.jpg,"Mô tả sản phẩm food 20",32,1,food,"2025-07-25 09:29:00","2025-07-25 18:47:28"
39,"Cà phê food đặc biệt 21",uploads/drink/f32c0947-5379-4581-8b3c-35211698c4b8_caphesua.jpg,"Mô tả sản phẩm food 21",20,1,food,"2025-07-25 09:30:00","2025-07-25 09:30:00"
40,"Cà phê food đặc biệt 22",uploads/food/9023db46-881d-4981-9e63-41018725661c_anhcaphe3.jpg,"Mô tả sản phẩm food 22",20,1,food,"2025-07-25 09:31:00","2025-07-25 18:47:43"
41,"Cà phê food đặc biệt 23",uploads/food/b347c93e-5b9f-4dfb-8e65-1f45b16bd8fb_caphesua.jpg,"Mô tả sản phẩm food 23",22,1,food,"2025-07-25 09:32:00","2025-07-25 09:32:00"
42,"Cà phê food đặc biệt 24",uploads/food/4dbf2b00-6900-4138-8f3c-02dfd79c8d00_anhcaphe2.jpg,"Mô tả sản phẩm food 24",32,1,food,"2025-07-25 09:33:00","2025-07-25 18:47:39"
43,"Cà phê food đặc biệt 25",uploads/drink/98ba059f-1ff6-4520-a5ab-9a416c48b252_caphesua.jpg,"Mô tả sản phẩm food 25",24,1,food,"2025-07-25 09:34:00","2025-07-25 14:48:34"
44,"Cà phê drink đặc biệt 26",uploads/drink/a7f8b209-fe30-42c7-a65a-7831177b9a84_anhcaphe3.jpg,"Mô tả sản phẩm drink 26",22,1,drink,"2025-07-25 09:35:00","2025-07-25 18:48:07"
45,"Cà phê drink đặc biệt 27",uploads/drink/f3b0823d-fcc0-48bf-aa57-40f711ca3501_anhcaphe2.jpg,"Mô tả sản phẩm drink 27",18,1,drink,"2025-07-25 09:36:00","2025-07-25 18:48:20"
46,"Cà phê drink đặc biệt 28",uploads/drink/fa08a672-0ea7-44e9-be74-0b0fb1dbd78a_anhcaphe3.jpg,"Mô tả sản phẩm drink 28",18,1,drink,"2025-07-25 09:37:00","2025-07-25 18:48:16"
47,"Cà phê drink đặc biệt 29",uploads/drink/3e0e04f0-4372-46c7-b35d-5fff880e8d9c_anhcaphe1.webp,"Mô tả sản phẩm drink 29",22,1,drink,"2025-07-25 09:38:00","2025-07-25 18:48:12"
48,"Cà phê drink đặc biệt 30",uploads/food/b347c93e-5b9f-4dfb-8e65-1f45b16bd8fb_caphesua.jpg,"Mô tả sản phẩm drink 30",28,1,drink,"2025-07-25 09:39:00","2025-07-25 09:39:00"
